"Region Code","Timestamp (Hour Ending)","SOCO Demand (MWh)"
SE,"8/22/2022, Central Time",706817
SE,"8/23/2022, Central Time",713572
SE,"8/24/2022, Central Time",699972
SE,"8/25/2022, Central Time",690624
SE,"8/26/2022, Central Time",726090
SE,"8/27/2022, Central Time",722337
SE,"8/28/2022, Central Time",722476
SE,"8/29/2022, Central Time",768860
SE,"8/30/2022, Central Time",751120
SE,"8/31/2022, Central Time",760818
SE,"9/1/2022, Central Time",745297
SE,"9/2/2022, Central Time",727670
SE,"9/3/2022, Central Time",693018
SE,"9/4/2022, Central Time",643123
SE,"9/5/2022, Central Time",661774
SE,"9/6/2022, Central Time",726100
SE,"9/7/2022, Central Time",733347
SE,"9/8/2022, Central Time",703592
SE,"9/9/2022, Central Time",646854
SE,"9/10/2022, Central Time",609695
SE,"9/11/2022, Central Time",648738
SE,"9/12/2022, Central Time",685038
SE,"9/13/2022, Central Time",626469
SE,"9/14/2022, Central Time",629741
SE,"9/15/2022, Central Time",647289
SE,"9/16/2022, Central Time",635312
SE,"9/17/2022, Central Time",619939
SE,"9/18/2022, Central Time",621132
SE,"9/19/2022, Central Time",677279
SE,"9/20/2022, Central Time",721683
SE,"9/21/2022, Central Time",749644
SE,"9/22/2022, Central Time",750536
SE,"9/23/2022, Central Time",617631
SE,"9/24/2022, Central Time",567358
SE,"9/25/2022, Central Time",581432
SE,"9/26/2022, Central Time",634416
SE,"9/27/2022, Central Time",563335
SE,"9/28/2022, Central Time",541987
SE,"9/29/2022, Central Time",532079
SE,"9/30/2022, Central Time",529601
SE,"10/1/2022, Central Time",514137
SE,"10/2/2022, Central Time",512415
SE,"10/3/2022, Central Time",549647
SE,"10/4/2022, Central Time",560927
SE,"10/5/2022, Central Time",556792
SE,"10/6/2022, Central Time",562390
SE,"10/7/2022, Central Time",565733
SE,"10/8/2022, Central Time",521733
SE,"10/9/2022, Central Time",497646
SE,"10/10/2022, Central Time",542737
SE,"10/11/2022, Central Time",567447
SE,"10/12/2022, Central Time",571240
SE,"10/13/2022, Central Time",566583
SE,"10/14/2022, Central Time",524149
SE,"10/15/2022, Central Time",507084
SE,"10/16/2022, Central Time",513347
SE,"10/17/2022, Central Time",552346
SE,"10/18/2022, Central Time",556445
SE,"10/19/2022, Central Time",598362
SE,"10/20/2022, Central Time",602355
SE,"10/21/2022, Central Time",572972
SE,"10/22/2022, Central Time",519314
SE,"10/23/2022, Central Time",505486
SE,"10/24/2022, Central Time",548479
SE,"10/25/2022, Central Time",550886
SE,"10/26/2022, Central Time",538556
SE,"10/27/2022, Central Time",544786
SE,"10/28/2022, Central Time",526254
SE,"10/29/2022, Central Time",494710
SE,"10/30/2022, Central Time",491266
SE,"10/31/2022, Central Time",535681
SE,"11/1/2022, Central Time",541143
SE,"11/2/2022, Central Time",543720
SE,"11/3/2022, Central Time",548814
SE,"11/4/2022, Central Time",540589
SE,"11/5/2022, Central Time",516942
SE,"11/6/2022, Central Time",562273
SE,"11/7/2022, Central Time",596897
SE,"11/8/2022, Central Time",585662
SE,"11/9/2022, Central Time",532089
SE,"11/10/2022, Central Time",538498
SE,"11/11/2022, Central Time",536769
SE,"11/12/2022, Central Time",510443
SE,"11/13/2022, Central Time",572591
SE,"11/14/2022, Central Time",642386
SE,"11/15/2022, Central Time",605146
SE,"11/16/2022, Central Time",626772
SE,"11/17/2022, Central Time",695947
SE,"11/18/2022, Central Time",706952
SE,"11/19/2022, Central Time",642412
SE,"11/20/2022, Central Time",652166
SE,"11/21/2022, Central Time",692538
SE,"11/22/2022, Central Time",607940
SE,"11/23/2022, Central Time",573930
SE,"11/24/2022, Central Time",493553
SE,"11/25/2022, Central Time",483890
SE,"11/26/2022, Central Time",487919
SE,"11/27/2022, Central Time",486386
SE,"11/28/2022, Central Time",553961
SE,"11/29/2022, Central Time",577300
SE,"11/30/2022, Central Time",561745
SE,"12/1/2022, Central Time",654574
SE,"12/2/2022, Central Time",618505
SE,"12/3/2022, Central Time",531478
SE,"12/4/2022, Central Time",524837
SE,"12/5/2022, Central Time",580531
SE,"12/6/2022, Central Time",582032
SE,"12/7/2022, Central Time",565335
SE,"12/8/2022, Central Time",552327
SE,"12/9/2022, Central Time",543159
SE,"12/10/2022, Central Time",519885
SE,"12/11/2022, Central Time",527911
SE,"12/12/2022, Central Time",564695
SE,"12/13/2022, Central Time",592104
SE,"12/14/2022, Central Time",614420
SE,"12/15/2022, Central Time",593151
SE,"12/16/2022, Central Time",650573
SE,"12/17/2022, Central Time",640236
SE,"12/18/2022, Central Time",690504
SE,"12/19/2022, Central Time",743423
SE,"12/20/2022, Central Time",709421
SE,"12/21/2022, Central Time",693347
SE,"12/22/2022, Central Time",665459
SE,"12/23/2022, Central Time",881072
